text_id,span_text,label,start_char,end_char
text_0,Устимко,PERS,42,49
text_0,Амфібрахій,PERS,70,80
text_1,Амфібрахію,PERS,157,167
text_3,Амфібрахій,PERS,6,16
text_4,Амфібрахій,PERS,22,32
text_9,Амфібрахій,PERS,91,101
text_11,Амфібрахій,PERS,2,12
text_14,Амфібрахія,PERS,21,31
text_16,кілька днів,PERIOD,22,33
text_16,Устимко,PERS,75,82
text_17,Сагайдачного,PERS,83,95
text_17,Дорошенка,PERS,98,107
text_17,Ляща,PERS,124,128
text_17,Конецьпольського,PERS,145,161
text_17,років десять тому,DATE,162,179
text_17,Великдень,MISC,183,192
text_19,Бог,PERS,23,26
text_23,за день,PERIOD,12,19
text_27,Гриця,PERS,104,109
text_33,Вербівці,LOC,138,146
text_34,Паляниці,PERS,4,12
text_35,Гната Паляницю,PERS,6,20
text_41,Паляниць,PERS,49,57
text_42,Амфібрахій,PERS,2,12
text_44,Вербівці,LOC,32,40
text_45,Паляниці,PERS,121,129
text_45,Одарки,PERS,193,199
text_47,Божа,PERS,10,14
text_48,Ліцінарові,PERS,2,12
text_51,Амфібрахій,PERS,60,70
text_55,Амфібрахій,PERS,52,62
text_55,Устимко,PERS,85,92
text_55,Амфібрахій,PERS,115,125
text_59,ЗМІ,MISC,65,68
text_63,прибиральника,JOB,93,106
text_63,генерального директора,JOB,112,134
text_76,ЗМІ,MISC,38,41
text_85,ЗМІ,MISC,13,16
text_95,ЗМІ,MISC,322,325
text_107,годину або й дві,PERIOD,146,162
text_109,Сейму,LOC,132,137
text_109,Яковом,PERS,216,222
text_112,років через три,DATE,34,49
text_117,Кампосанто,LOC,16,26
text_122,Орлового озера,LOC,73,87
text_122,роками,PERIOD,209,215
text_126,Гамлетів,PERS,79,87
text_127,Колріджа,PERS,15,23
text_127,Вордсворта,PERS,26,36
text_127,Мелвіла,PERS,39,46
text_127,Фітцджеральда,PERS,49,62
text_128,Артюр Рембо,PERS,35,46
text_129,Селінджер,PERS,3,12
text_135,Заходу,LOC,43,49
text_136,Окциденту,LOC,44,53
text_138,Еней,PERS,4,8
text_144,90-х,DATE,96,100
text_144,Микола та Лариса Онули,PERS,193,215
text_146,Онули,PERS,15,20
text_146,УДАРу,ORG,79,84
text_146,Кіровоградщині,LOC,88,102
text_148,Блок Порошенка,ORG,65,79
text_148,Віталія Кличка,PERS,106,120
text_148,Ларису Анатоліївну,PERS,127,145
text_148,Миколу Леонідовича,PERS,152,170
text_152,УДАРу,ORG,49,54
text_152,Анатолій Ревенко,PERS,55,71
text_153,Верховної Ради,ORG,38,52
text_153,Лариса Онул,PERS,65,76
text_153,100-му окрузі,ORG,112,125
text_153,Кіровоград,LOC,128,138
text_153,Блоку Порошенка,ORG,199,214
text_153,Костянтину Яринічу,PERS,215,233
text_154,Микола,PERS,11,17
text_154,100-го округу,ORG,44,57
text_154,Бобринець,LOC,68,77
text_156,Порошенка,PERS,17,26
text_156,Кличка,PERS,29,35
text_156,Онули,PERS,36,41
text_157,Микола,PERS,14,20
text_157,Лариса,PERS,28,34
text_158,Кіровоградщини,LOC,7,21
text_158,Кіровоградської облдержадміністрації,ORG,94,130
text_158,Сергія Кузьменка,PERS,131,147
text_159,Онули,PERS,56,61
text_160,ОДА,ORG,85,88
text_161,Онули,PERS,6,11
text_162,Лариса Анатоліївна,PERS,34,52
text_163,Микола Леонідович,PERS,8,25
text_165,Лариса Онул,PERS,14,25
text_165,Меморандум про чесні вибори,DOC,57,84
text_166,Наглядову раду,ORG,48,62
text_166,Меморандуму,DOC,182,193
text_169,Лариса,PERS,16,22
text_172,ОПОРА,ORG,116,121
text_172,100-му окрузі,ORG,167,180
text_172,Миколу Онула,PERS,181,193
text_172,Станіслава Березкіна,PERS,217,237
text_172,Іскра,ORG,300,305
text_173,Онулів,PERS,35,41
text_173,УДАРу,ORG,63,68
text_173,Сергій Каплін,PERS,69,82
text_173,Віталій Кличко,PERS,220,234
text_175,сорок майже літ,PERIOD,45,60
text_175,Львові,LOC,101,107
text_176,Львова,LOC,97,103
text_176,Оперним,LOC,110,117
text_179,Пасіки,PERS,116,122
text_179,Сороки,PERS,125,131
text_179,Північне море,LOC,173,186
text_179,Зубра,PERS,220,225
text_182,Лаокооном,PERS,35,44
text_186,Лі Бо,PERS,13,18
text_188,Покрова,MISC,9,16
text_193,Франківська,LOC,9,20
