text_id,text
text_0,"Дорогою зупинялися в селах , старцювали . Устимко приспівував дідам . Амфібрахій шукав підробіток ."
text_1,"То молитви продавав свої спудейські , то щось комусь косив чи рубав , а бувало , хтось приходив до діда і просив якогось зілля на лік і тоді дід , пояснивши Амфібрахію , яку саме траву треба принести , посилав його на пошуки ."
text_2,"Дуже часто дід досить точно вказував , куди саме йти і де рвати чи копати , що при тім примовити , що покласти на землю ."
text_3,"Часом Амфібрахій , керуючись настановами старого кобзаря , знаходив траву дуже швидко , але чекав аж до заходу сонця , або доки на небі згасне остання зірка , або до іншої якої пори , — тільки тоді можна було зірвати її так , щоб вона мала силу прогнати духа хвороби ."
text_4,Чи вірив у все це сам Амфібрахій ?
text_5,"Мабуть , ні ."
text_6,Але так треба було зробити .
text_7,"Саме так , а не інакше ."
text_8,"Тож і робив , як веліли ."
text_9,"Якісь звичні трави , такі як материнка , ромашка , липовий цвіт чи полин , знали всі , тож Амфібрахій шукав у лісах ліпник та калган , прикрит і переступень , розрив-траву та адамове яблуко ."
text_10,"Бувало , дід просив принести зілля так , щоб дорогою не промовити ні до кого жодного слова ."
text_11,І Амфібрахій мовчав .
text_12,"Шукав якісь потаємні стежки , аби менше зустрічатися з людьми , а коли не витримував і все-таки говорив з кимось , вертався назад і починав усе наново ."
text_13,"Дід би все одно ніколи не дізнався , говорив він із кимось чи ні , але дурити сліпого ... не по-людському ."
text_14,Та основним заробком Амфібрахія у цю пору була допомога на жнивах .
text_15,"Люди були зайняті в полі , і не було їм часу зараз слухати кобзарські псальми , думи та пісні ."
text_16,"Зупинялися в селах на кілька днів , діди більше відпочивали й розмовляли , Устимко гасав із ровесниками , десь комусь щось допомагав , а вечорами старці йшли по хатах чи в поле до жниварів , які часто там і залишалися на ночівлю , і співали для них ."
text_17,"Разом їли куліш і кашу , говорили про життя , про джуму , про козаків , про батька Сагайдачного і Дорошенка , згадували про Ляща , що за наказом Конецьпольського років десять тому на Великдень вирізав усіх людей , які тільки були в церкві , навіть дітей не милував ( Не бояться люди гріха , де ж то таке робити ... ) , і про війну , про унію ( І навіщо вона здалася ?"
text_18,І що ж тепер з того буде ?
text_19,Чи не покарає їх за це Бог ? ) .
text_20,"Пани собі щось там мудрують , а у хлопів чуби тріщать ..."
text_21,З усіх сторін обсіли нашого брата вороги і ніяк не дадуть нам спокою .
text_22,"А нам же так мало треба для того , аби просто жити , — клапоть землі й ковток волі ."
text_23,"А натомлені за день дівчата лягали на землю , простягали змучені від роботи руки вздовж тіл і співали щось таке журливе та сердечне , ніби кликали кого з темряви , а він , отой хтось , усе не йшов і не йшов ."
